"This file was written by the 'Score!' program"
"'Score!' is a program for scorekeeping aerobatic contests"
""
"copa ACONCAGUA 2da Fecha Chile"
"Contest Results"
"1-nov-2022 10:59"
""
"Basic"
"Rank","Pilot","CACH#","IMAC CHILE#","Final Score","Kno/1/1","Kno/1/2","Kno/2/1","Kno/2/2","Kno/3/1","Kno/4/1"
"1","Enrique Ariztia","104","104",3976.098901098901,1000.0,"thrown=919,5",1000.0,1000.0,976.098901098901,"thrown=896,6"
"2","Federico Troitiño","105","105",3799.7122442774617,"thrown=569,1",1000.0,836.2507058159232,"thrown=810,7",963.4615384615385,1000.0
"3","Nicolas Valencia","109","109",3353.7344300469695,885.9485114339135,"thrown=0,0",795.0310559006211,"thrown=613,0",890.9340659340659,781.820796778369
"4","Danis Bustos","103","103",3308.987059806636,907.3781101682729,784.010840108401,762.1400338791643,"thrown=651,0","thrown=725,5",855.4580756507982
"5","Francisco Eterovich","106","106",3296.4720446024853,901.769020566662,826.1517615176149,739.4127611518917,"thrown=648,0","thrown=733,7",829.1385013663167
"6","Calos Diaz","102","102",3276.414604509994,865.8133179922338,786.1788617886177,789.243365330322,"thrown=597,8","thrown=745,3",835.1790593988205
"7","Yoel Arendt","111","111",3140.1495679010254,864.9503811304475,789.972899728997,803.218520609825,"thrown=0,0","thrown=625,0",682.007766431756
"8","Sergio Pizarro","110","110",2632.830339122408,"thrown=265,5","thrown=433,9",669.1134952004517,539.8583386992917,696.978021978022,726.8804832446426
"9","Andres Vasquez","100","100",2475.677183112727,556.162807421257,725.2032520325203,462.1682665160927,"thrown=434,5",732.1428571428571,"thrown=423,4"
"10","Jaime Parra","108","108",2220.4091182791526,567.5248094347764,534.9593495934959,634.1050254093732,"thrown=343,3","thrown=464,3",483.81993384150724
"11","Benjamin Abasolo","101","101",1991.8020998130303,"thrown=0,0","thrown=0,0",0.0,0.0,1000.0,991.8020998130303
""
"Sportsman"
"Rank","Pilot","CACH#","IMAC CHILE#","Final Score","Kno/1/1","Kno/1/2","Kno/2/1","Kno/2/2","Kno/3/1","Unk/1"
"1","Diego Nuñez","203","203",4983.72513562387,1000.0,1000.0,983.7251356238698,1000.0,"thrown=826,0",1000.0
"2","Natalio O'Kuingthon","208","208",4468.782802210162,792.2792731659505,832.7432932106049,1000.0,"thrown=696,6",1000.0,843.7602358336063
"3","Mauricio Zwanzger","207","207",4030.972597984367,801.7793862625349,750.0590040122728,870.562482154754,767.4318631244089,"thrown=0,0",841.1398624303963
"4","Fernando Abasolo","204","204",3978.9692523727604,638.0909296539246,"thrown=611,0",870.8480060911774,709.9131630986158,900.0887661505081,860.0283873785348
"5","Blas Ocampo","200","200",3977.4337437012264,745.1556962979718,800.3304224687279,948.5105167983249,"thrown=707,7",778.7750271229907,704.6620810132109
"6","Daniel Pais","202","202",3460.0822427231046,740.1040488577244,653.8431279993706,763.9668792233749,676.5540366262575,"thrown=586,8",625.6141500163773
"7","Julio Inostroza","206","206",3059.198479653058,518.6609364397194,"thrown=483,9",757.2094793946892,655.0597541054079,543.0515829963508,585.2167267168904
"8","Tomas Gutierrez","209","209",1545.5396317740617,263.43964412274744,"thrown=247,2",556.5813267345577,445.01762531166713,280.50103560508927,0.0
""
"Intermediate"
"Rank","Pilot","CACH#","IMAC CHILE#","Final Score","Kno/1/1","Kno/1/2","Kno/2/1","Kno/2/2","Kno/3/1","Unk/1"
"1","FAUSTO BUJALDON","303","303",4952.655693078859,1000.0,985.8307990047001,967.4590669315613,"thrown=952,2",1000.0,999.3658271425984
"2","BENJAMIN STEGMAYER","300","300",4916.25701980794,"thrown=884,7",1000.0,1000.0,1000.0,968.0780018699079,948.1790179380323
"3","SEBASTIAN MUÑOZ","304","304",4696.712105313294,"thrown=741,2",966.2012717721869,924.642049736247,920.0667269062351,885.8020568986244,1000.0
"4","CLAUDIO ROJAS","301","301",3707.5003472851827,730.0447215069792,792.2311307713575,787.8331163937796,"thrown=668,8",764.1244824362229,633.2668961768435
"5","DAVID ARENDT","302","302",3550.330151746906,716.6282694131995,629.5272325131325,696.1019387545387,"thrown=603,8",663.0826766395086,844.9900344265267
""
"Advanced"
"Rank","Pilot","CACH#","IMAC CHILE#","Final Score","Kno/1/1","Kno/1/2","Kno/2/1","Kno/2/2","Kno/3/1","Unk/1"
"1","MARTIN COSER","401","401",5000.0,1000.0,1000.0,"thrown=937,9",1000.0,1000.0,1000.0
"2","MARIANO SUTER","400","400",4508.749632125448,"thrown=794,7",924.0151106314086,1000.0,865.1126651126648,988.8167003940782,730.8051559872968
"3","NICOLAS ROZAS","402","402",4251.822209688388,"thrown=690,8",842.6875337290879,826.0989617848464,806.7858067858066,934.9771008627117,841.2728065259355
""
"Unlimited"
"Rank","Pilot","CACH#","IMAC CHILE#","Final Score","Kno/1/1","Kno/1/2","Kno/2/1","Kno/2/2","Kno/3/1","Unk/1"
"1","JULIAN GIRAUDO","500","500",4938.120492181955,"thrown=943,0",986.8665736866573,951.2539184952979,1000.0,1000.0,1000.0
"2","THIAGO MACCAGNAN","503","503",4893.464938289978,1000.0,996.978149697815,1000.0,993.5376276839693,"thrown=985,8",902.9491609081937
"3","MARCELO ZINI","501","501",4871.986899597174,997.8835978835979,1000.0,"thrown=943,1",991.0881801125705,994.3181818181822,888.6969397828233
"4","MARCOS BUJALDON","502","502",4303.102063170358,907.1567808409911,977.9172477917247,900.2089864158829,905.0969355847404,"thrown=895,9",612.7221125370188
""
"Freestyle"
"Rank","Pilot","CACH#","IMAC CHILE#","Final Score","Fre/1"
"1","BENJAMIN STEGMAYER","300","300",1000.0,1000.0
"2","JULIAN GIRAUDO","500","500",902.3474178403756,902.3474178403756
"3","SEBASTIAN MUÑOZ","304","304",831.9248826291077,831.9248826291077
